Description,Location,Price (PHP),Bedrooms,Floor_area (sqm),Land_area (sqm),Link
ready for occupancy house 4 bedrooms for sale in cebu city,"Guadalupe, Cebu","12,458,060",4,120,119,https://www.lamudi.com.ph/ready-for-occupancy-house-4-bedrooms-for-sale-in-cebu-city.html
"For Sale 5 Bedroom Modern House in Pacific Village, Alabang Muntinlupa near ATC","Alabang, Muntinlupa","135,000,000",5,700,681,https://www.lamudi.com.ph/for-sale-5-bedroom-modern-house-in-pacific-village-alabang-muntinlupa-near-atc.html
2 Bedrooms Townhouse Las Pinas For Sale near Naga Road,"Pulang Lupa Dos, Las Pinas","3,808,000",2,47,49,https://www.lamudi.com.ph/2-bedrooms-townhouse-las-pinas-for-sale-near-naga-road.html
Affordable Duplex for Sale at San Jose Del Monte Bulacab,"Sapang Palay, San Jose del Monte","2,950,000",3,70,80,https://www.lamudi.com.ph/affordable-duplex-for-sale-at-san-jose-del-monte-bulacab.html
Affordable Townhouse for sale at San Jose Del Monte Bulacan,"San Rafael I, San Jose del Monte","2,200,000",2,68,50,https://www.lamudi.com.ph/affordable-townhouse-for-sale-at-san-jose-del-monte-bulacan.html
Greenmeadows Subdivision Spacious 3BR House For Sale in Quezon City near BGC,"Ugong Norte, Quezon City","265,000,000",3,500,805,https://www.lamudi.com.ph/greenmeadows-subdivision-spacious-3br-house-for-sale-in-quezon-city-near-bgc.html
"San Juan 6 Bedroom House and Lot For Sale with Pool nr. Greenhills, Eastwood","Tibagan, San Juan","72,000,000",6,637,534,https://www.lamudi.com.ph/san-juan-6-bedroom-house-and-lot-for-sale-with-pool-nr-greenhills-eastwood.html
"Executive Villagers Association 5 Bedroom House for Sale in BF Homes, Paranaque","B.F. Homes, Paranaque","22,000,000",5,600,420,https://www.lamudi.com.ph/executive-villagers-association-5-bedroom-house-for-sale-in-bf-homes-paranaque.html
"Greenmeadows 2-Storey House & Lot for Sale in Quezon City Nr. BGC,Makati,Ortigas","Ugong Norte, Quezon City","167,000,000",6,635,1141,https://www.lamudi.com.ph/greenmeadows-2-storey-house-lot-for-sale-in-quezon-city-nr-bgc-makati-ortigas.html
Pacific Village 5 Bedroom House For Sale with Swimming Pool - Good as Brand New!,"Cupang, Muntinlupa","135,000,000",5,700,681,https://www.lamudi.com.ph/pacific-village-5-bedroom-house-for-sale-with-swimming-pool-good-as-brand-new.html
"Nova Stella Residences | 3 Bedroom House for Sale in Imus City, Cavite","Carsadang Bago I, Imus","3,437,408",3,64,50,https://www.lamudi.com.ph/nova-stella-residences-3-bedroom-house-for-sale-in-imus-city-cavite.html
"Sta. Mesa Heights, Quezon City - Brand New Townhouse For Sale near Banawe","Maharlika, Quezon City","33,000,000",4,309,93,https://www.lamudi.com.ph/sta-mesa-heights-quezon-city-brand-new-townhouse-for-sale-near-banawe.html
"For Sale 3 Bedroom House and Lot in St. Ignatius Village, Quezon City","Saint Ignatius, Quezon City","61,440,000",3,250,384,https://www.lamudi.com.ph/for-sale-3-bedroom-house-and-lot-in-st-ignatius-village-quezon-city.html
"3 Level  Brand New Modern House for Sale in Ayala Alabang, Muntinlupa","Ayala Alabang, Muntinlupa","195,000,000",7,800,555,https://www.lamudi.com.ph/3-level-brand-new-modern-house-for-sale-in-ayala-alabang-muntinlupa.html
For Sale: Ocam-Ocam Beach Resort,"New Busuanga, Busuanga","120,000,000",3,420,24750,https://www.lamudi.com.ph/for-sale-ocam-ocam-beach-resort.html
CRD # 80064 Fully Furnished House and Lot For Sale in Paranaque City,"Moonwalk, Paranaque","45,000,000",6,800,300,https://www.lamudi.com.ph/crd-80064-fully-furnished-house-and-lot-for-sale-in-paranaque-city.html
"CRD # 80067 Townhouse For Sale in San Martin De Porres, Paranaque","San Martin de Porres, Paranaque","36,000,000",3,480,400,https://www.lamudi.com.ph/crd-80067-townhouse-for-sale-in-san-martin-de-porres-paranaque.html
FOR SALE House and Lot in Paranaque,"Don Bosco, Paranaque","18,500,000",5,235,210,https://www.lamudi.com.ph/for-sale-house-and-lot-in-paranaque-1.html
brand new house 4 Bedrooms  for sale at bf homes paranaque,"B.F. Homes, Paranaque","24,000,000",4,285,204,https://www.lamudi.com.ph/brand-new-house-4-bedrooms-for-sale-at-bf-homes-paranaque.html
3 Bedroom Townhouse End Unit for sale at Hamilton Executive Residences,"Malagasang II-E, Imus","6,875,000",3,67,100,https://www.lamudi.com.ph/3-bedroom-townhouse-end-unit-for-sale-at-hamilton-executive-residences.html
2 Bedroom House and Lot (End) at Phirst Park Homes Calamba,"Palo-Alto, Calamba","2,682,050",2,40,60,https://www.lamudi.com.ph/2-bedroom-house-and-lot-end-at-phirst-park-homes-calamba-1.html
"3 Bedroom Corner House & Lot For Sale in Woodridge Park, Maa, Davao City","Ma-A, Davao",no info,3,180,140,https://www.lamudi.com.ph/3-bedroom-corner-house-lot-for-sale-in-woodridge-park-maa-davao-city.html
Prime White Plains House and Lot for Sale,"White Plains, Quezon City","120,870,000",4,600,599,https://www.lamudi.com.ph/prime-white-plains-house-and-lot-for-sale.html
"2 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Alli)","Sapang Palay, San Jose del Monte","3,991,000",2,40,88,https://www.lamudi.com.ph/2-bedroom-house-and-lot-at-camella-monticello-in-san-del-monte-bulacan-alli.html
"2 Bedroom House and Lot at Camella Monticello in San del Monte, Bulacan (Bella)","Sapang Palay, San Jose del Monte","5,907,000",2,53,145,https://www.lamudi.com.ph/2-bedroom-house-and-lot-at-camella-monticello-in-san-del-monte-bulacan-bella.html
"300 sq.m. House For Sale in Catmon St., San Antonio Village Makati","San Antonio, Makati","42,000,000",5,223,295,https://www.lamudi.com.ph/300-sq-m-house-for-sale-in-catmon-st-san-antonio-village-makati.html
"RFO, 4BR, Brand New House & Lot in Grand Parkplace Village Anabu II Imus Cavite","Anabu II-A, Imus","11,700,000",4,243,180,https://www.lamudi.com.ph/rfo-4br-brand-new-house-lot-in-grand-parkplace-village-anabu-ii-imus-cavite.html
"House and Lot for sale in Ponticelli Gardens - Daanghari Bacoor, Cavite","Molino III, Bacoor","14,000,000",5,195,220,https://www.lamudi.com.ph/house-and-lot-for-sale-in-ponticelli-gardens-daanghari-bacoor-cavite.html
For Sale Ready For Occupancy Townhouse in Town and Country West Molino Bacoor,"Molino III, Bacoor","8,550,000",3,231,130,https://www.lamudi.com.ph/for-sale-ready-for-occupancy-townhouse-in-town-and-country-west-molino-bacoor.html
"Tandang Sora, Quezon City 3 Storey, 4BR, 4 Toilet and Bath Townhouse For Sale","Tandang Sora, Quezon City","11,500,000",4,185,78,https://www.lamudi.com.ph/tandang-sora-quezon-city-3-storey-4br-4-toilet-and-bath-townhouse-for-sale.html
Newly Renovated 3 Bedroom House for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","17,800,000",3,280,280,https://www.lamudi.com.ph/newly-renovated-3-bedroom-house-for-sale-in-bf-homes-paranaque.html
Townhouse for sale in Crosswinds Tagaytay,"Iruhin East, Tagaytay","16,000,000",2,158,209,https://www.lamudi.com.ph/townhouse-for-sale-in-crosswinds-tagaytay.html
For Sale! 222 sqm Premium Luxury Townhouse with 3 Bedrooms at AFPOVAI in Taguig,"Western Bicutan, Taguig","25,000,000",3,222,91,https://www.lamudi.com.ph/for-sale-222-sqm-premium-luxury-townhouse-with-3-bedrooms-at-afpovai-in-taguig.html
For Sale Townhouse with 3 Bedrooms in Mariposa Quezon City,"Bagong Lipunan Ng Crame, Quezon City","26,800,000",3,220,106,https://www.lamudi.com.ph/for-sale-townhouse-with-3-bedrooms-in-mariposa-quezon-city.html
3-Bedroom House and Lot For Sale in Mahogany Place Acacia Taguig City,"McKinley Hill, Taguig","23,000,000",3,240,116,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-in-mahogany-place-acacia-taguig-city.html
For Sale Most Affordable House & Lot in Trece Martires Cavite,"Conchu, Trece Martires","1,500,000",2,42,42,https://www.lamudi.com.ph/for-sale-most-affordable-house-lot-in-trece-martires-cavite.html
"For Sale Townhouse in Verdant Heights Multinational Village, Paranaque City","Moonwalk, Paranaque","4,600,000",3,110,60,https://www.lamudi.com.ph/for-sale-townhouse-in-verdant-heights-multinational-village-paranaque-city.html
"For Sale Brand New 5 Bedroom House and Lot in Tivoli Royale Subd., Quezon City","Matandang Balara, Quezon City","52,000,000",5,500,300,https://www.lamudi.com.ph/for-sale-brand-new-5-bedroom-house-and-lot-in-tivoli-royale-subd-quezon-city.html
"4 Bedrooms House & Lot For Sale at The Brookside @ Summit Point, Lipa Batangas","Plaridel, Lipa","3,518,424",4,88,120,https://www.lamudi.com.ph/4-bedrooms-house-lot-for-sale-at-the-brookside-summit-point-lipa-batangas.html
4-Bedroom House with Garden for Sale at Orchard Golf and Country Club in Cavite,"Salitran I, Dasmarinas","38,000,000",4,301,491,https://www.lamudi.com.ph/4-bedroom-house-with-garden-for-sale-at-orchard-golf-and-country-club-in-cavite.html
"For Sale 3BR Townhouse 3CR Modern Design at Mother Earth Subdivision, Las Pinas","Talon Uno, Las Pinas","6,300,000",3,104,70,https://www.lamudi.com.ph/for-sale-3br-townhouse-3cr-modern-design-at-mother-earth-subdivision-las-pinas.html
House For Sale Near Tagaytay,"Panungyanan, General Trias","2,044,000",3,51,50,https://www.lamudi.com.ph/house-for-sale-near-tagaytay-3.html
Rush!!! 2 Storey House & Lot for Sale at Royal South Las Pinas,"Talon Singko, Las Pinas","7,200,000",4,100,81,https://www.lamudi.com.ph/rush-2-storey-house-lot-for-sale-at-royal-south-las-pinas.html
"Katrina House for Sale in Green Forbes Residences Loma de Gato, Marilao, Bulacan","Loma de Gato, Marilao","1,983,000",1,47,55,https://www.lamudi.com.ph/katrina-house-for-sale-in-green-forbes-residences-loma-de-gato-marilao-bulacan.html
House & Lot for sale at Brgy. Gulang-Gulang Lucena City,"Gulang-Gulang, Lucena","1,128,000",2,120,188,https://www.lamudi.com.ph/house-lot-for-sale-at-brgy-gulang-gulang-lucena-city.html
Affordable 2-Storey Rowhouse For Sale in San Pablo Castillejos Zambales,"San Pablo, Castillejos","530,761",2,34,31,https://www.lamudi.com.ph/affordable-2-storey-rowhouse-for-sale-in-san-pablo-castillejos-zambales.html
3-Bedroom House For Sale in Montefaro Estates Imus Cavite,"Carsadang Bago II, Imus","3,200,000",3,80,94,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-montefaro-estates-imus-cavite.html
3BR Brand New House Woodridge Heights for Sale - Marikina City backing LGV,"Concepcion Uno, Marikina","29,700,000",3,316,204,https://www.lamudi.com.ph/3br-brand-new-house-woodridge-heights-for-sale-marikina-city-backing-lgv.html
3 Bedroom Townhouse for Sale in Mansfield Residences Angeles City near Nepo,"Santo Domingo, Angeles","5,000,000",3,110,80,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-in-mansfield-residences-angeles-city-near-nepo.html
Beautiful 4 Bedroom House and Lot with Swimming Pool for Sale in Angeles City,"Cuayan, Angeles","19,500,000",4,240,200,https://www.lamudi.com.ph/beautiful-4-bedroom-house-and-lot-with-swimming-pool-for-sale-in-angeles-city.html
"For Sale Townhouse @ Leon Guinto St., Malate,Manila near De La Salle University","Malate, Manila","13,950,000",3,148,47,https://www.lamudi.com.ph/for-sale-townhouse-leon-guinto-st-malate-manila-near-de-la-salle-university.html
"House property for sale in Pilar, Las Pinas, Metro Manila","Pilar, Las Pinas","5,990,000",3,98,86,https://www.lamudi.com.ph/house-property-for-sale-in-pilar-las-pinas-metro-manila.html
For Sale Brand New RFO 2 Storey Modern Design House and Lot in Las Pinas,"Almanza Uno, Las Pinas","7,499,999",3,127,87,https://www.lamudi.com.ph/for-sale-brand-new-rfo-2-storey-modern-design-house-and-lot-in-las-pinas.html
Affordable Brand New 2-Bedroom House and Lot near Alabang,"Talon Singko, Las Pinas","2,998,000",2,41,38,https://www.lamudi.com.ph/affordable-brand-new-2-bedroom-house-and-lot-near-alabang.html
For Sale Brand New 2-Bedroom House and Lot near SM Southmall and Alabang,"Talon Kuatro, Las Pinas","4,799,999",2,70,72,https://www.lamudi.com.ph/for-sale-brand-new-2-bedroom-house-and-lot-near-sm-southmall-and-alabang.html
Brand New 4-Bedroom Modern Bungalow House and Lot in Pilar Las Pinas,"Pilar, Las Pinas","12,000,000",4,200,238,https://www.lamudi.com.ph/brand-new-4-bedroom-modern-bungalow-house-and-lot-in-pilar-las-pinas.html
For Sale Scout 3 Storey Townhouse in Tomas Morato Area Quezon City,"South Triangle, Quezon City","30,000,000",3,242,109,https://www.lamudi.com.ph/for-sale-scout-3-storey-townhouse-in-tomas-morato-area-quezon-city.html
A Modern Ayala Alabang House for Sale | Functional Korean Designer Home,"Ayala Alabang, Muntinlupa","157,000,000",5,460,540,https://www.lamudi.com.ph/a-modern-ayala-alabang-house-for-sale-functional-korean-designer-home.html
3 Bedroom Townhouse for Sale in Mansfield Residences Angeles City near Nepo,"Santo Domingo, Angeles","5,000,000",3,110,80,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-in-mansfield-residences-angeles-city-near-nepo.html
Beautiful 4 Bedroom House and Lot with Swimming Pool for Sale in Angeles City,"Cuayan, Angeles","19,500,000",4,240,200,https://www.lamudi.com.ph/beautiful-4-bedroom-house-and-lot-with-swimming-pool-for-sale-in-angeles-city.html
"3 Storey, 4 Bedroom Townhouse For For Sale at Metro Los Banos 2, Laguna","San Antonio, Los Banos","4,850,000",4,131,87,https://www.lamudi.com.ph/3-storey-4-bedroom-townhouse-for-for-sale-at-metro-los-banos-2-laguna.html
For Sale: RFO 3 Bedroom Townhouse in Moonwalk Village Las Pinas City,"Talon Singko, Las Pinas","5,600,000",3,130,72,https://www.lamudi.com.ph/for-sale-rfo-3-bedroom-townhouse-in-moonwalk-village-las-pinas-city-1.html
Elisa Single Atached - Modern Minimalist 2BR House and Lot for Sale in Futura Homes Z...,"Boalan, Zamboanga","2,017,176",2,83,325,https://www.lamudi.com.ph/elisa-single-atached-modern-minimalist-2br-house-and-lot-for-sale-in-futura-homes-zamboanga-boalan-zamboanga-city.html
"P500 Townhouse for Sale in Austine Homes, Mabalacat, Pampanga","Santa Maria, Mabalacat","1,700,000",2,39,43,https://www.lamudi.com.ph/p500-townhouse-for-sale-in-austine-homes-mabalacat-pampanga.html
Greenwoods Executive Village 3 Storey Stunning House For Sale in Pasig City,"Pinagbuhatan, Pasig","14,000,000",5,280,128,https://www.lamudi.com.ph/greenwoods-executive-village-3-storey-stunning-house-for-sale-in-pasig-city.html
Modern Nice Location Elegant House And Lot For Sale In BF Homes Paranaque,"B.F. Homes, Paranaque","19,800,000",3,295,204,https://www.lamudi.com.ph/modern-nice-location-elegant-house-and-lot-for-sale-in-bf-homes-paranaque-132.html
Gracious Morning Sun House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","31,800,000",5,350,304,https://www.lamudi.com.ph/gracious-morning-sun-house-and-lot-for-sale-in-bf-homes-paranaque-46.html
70 sqm Property for Sale in Camella Brgy. San Luis Antipolo,"San Luis, Antipolo","5,500,000",2,70,72,https://www.lamudi.com.ph/70-sqm-property-for-sale-in-camella-brgy-san-luis-antipolo.html
"For Sale 3 Storey Modern House and Lot in Bf Homes, Paranaque City","B.F. Homes, Paranaque","25,500,000",5,356,216,https://www.lamudi.com.ph/for-sale-3-storey-modern-house-and-lot-in-bf-homes-paranaque-city.html
Modern Brand new house and lot for sale in BF homes Paranaque City,"B.F. Homes, Paranaque","23,000,000",4,290,204,https://www.lamudi.com.ph/modern-brand-new-house-and-lot-for-sale-in-bf-homes-paranaque-city.html
"For Sale 5 Bedroom House and Lot in Addition Hills, San Juan City","Addition Hills, San Juan","228,570,000",5,80,1203,https://www.lamudi.com.ph/for-sale-5-bedroom-house-and-lot-in-addition-hills-san-juan-city.html
Price Drop! 4 Bedroom House for Sale with Spacious Garden in West Triangle QC,"West Triangle, Quezon City","100,000,000",4,500,639,https://www.lamudi.com.ph/price-drop-4-bedroom-house-for-sale-with-spacious-garden-in-west-triangle-qc.html
"3BR Townhome End Unit for Sale - Penthouse at Jubilation Enclave North, New Binan, La...","Santo Nino, Binan","5,300,000",3,90,80,https://www.lamudi.com.ph/3br-townhome-end-unit-for-sale-penthouse-at-jubilation-enclave-north-new-binan-laguna.html
Beautiful Meditterenean House and Lot For Sale in Bf Homes Paranaque,"B.F. Homes, Paranaque","29,000,000",6,500,321,https://www.lamudi.com.ph/beautiful-meditterenean-house-and-lot-for-sale-in-bf-homes-paranaque-6.html
Breezy Brand New Modern and High-style Finish House and Lot for Sale in Paranaqu,"B.F. Homes, Paranaque","30,000,000",4,500,312,https://www.lamudi.com.ph/breezy-brand-new-modern-and-high-style-finish-house-and-lot-for-sale-in-paranaqu.html
Fully Renovated Bungalow for Sale House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","40,000,000",4,612,500,https://www.lamudi.com.ph/fully-renovated-bungalow-for-sale-house-and-lot-for-sale-in-bf-homes-paranaque-47.html
two storey brand-new house and lot with pool located in angeles city for sale,"Amsic, Angeles","17,800,000",5,240,200,https://www.lamudi.com.ph/two-storey-brand-new-house-and-lot-with-pool-located-in-angeles-city-for-sale.html
Modern 2-Storey House And Lot For Sale In Prime Location In Bf Homes Paranaque,"B.F. Homes, Paranaque","28,000,000",4,330,280,https://www.lamudi.com.ph/modern-2-storey-house-and-lot-for-sale-in-prime-location-in-bf-homes-paranaque-3.html
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","25,296,000",3,250,92,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-unit-3.html
"Pre-selling 3BR 4-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","40,322,000",3,323,90,https://www.lamudi.com.ph/pre-selling-3br-4-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-end-unit-elevated-garden-2.html
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","25,296,000",3,250,92,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-unit-2.html
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","27,705,000",3,250,125,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-end-unit-1.html
Swimming Pool House and Lot for sale Filinvest Batasan Commonwealth Quezon City,"Commonwealth, Quezon City","41,500,000",5,500,338,https://www.lamudi.com.ph/swimming-pool-house-and-lot-for-sale-filinvest-batasan-commonwealth-quezon-city.html
400 sqm House and Lot for Sale in Buenavista Hills Subdivision Tagaytay City,"Tolentino West, Tagaytay","20,000,000",3,400,240,https://www.lamudi.com.ph/400-sqm-house-and-lot-for-sale-in-buenavista-hills-subdivision-tagaytay-city.html
extravagant mediterranean house and lot with swimming pool for sale,"B.F. Homes, Paranaque","40,000,000",5,500,465,https://www.lamudi.com.ph/extravagant-mediterranean-house-and-lot-with-swimming-pool-for-sale.html
"For Sale: 4 Bedroom House @ Ponticelli Hills, Bacoor","Molino III, Bacoor","13,000,000",4,160,141,https://www.lamudi.com.ph/for-sale-4-bedroom-house-ponticelli-hills-bacoor.html
Breezy Brand New Modern and High-style Finish House for Sale in Paranaque,"B.F. Homes, Paranaque","30,000,000",4,500,312,https://www.lamudi.com.ph/breezy-brand-new-modern-and-high-style-finish-house-for-sale-in-paranaque.html
Modern 2-Storey Elegant Finish House And Lot For Sale In Prime Location,"B.F. Homes, Paranaque","28,000,000",4,330,280,https://www.lamudi.com.ph/modern-2-storey-elegant-finish-house-and-lot-for-sale-in-prime-location-1.html
Newly Built Modern-Styled 2-Storey House And Lot For Sale In BF Homes Paranaque,"B.F. Homes, Paranaque","24,000,000",4,210,204,https://www.lamudi.com.ph/newly-built-modern-styled-2-storey-house-and-lot-for-sale-in-bf-homes-paranaque-6.html
East-facing morning sun house and lot for sale in bf homes paranaque,"B.F. Homes, Paranaque","32,800,000",4,350,304,https://www.lamudi.com.ph/east-facing-morning-sun-house-and-lot-for-sale-in-bf-homes-paranaque-4.html
Single-detached Contemporary Modern Zen House and Lot in BF Homes Paranaque,"B.F. Homes, Paranaque","18,750,000",3,300,204,https://www.lamudi.com.ph/single-detached-contemporary-modern-zen-house-and-lot-in-bf-homes-paranaque-2.html
2-Bedroom Sophisticated & Trendy House and Lot for Sale in The Emerald Residences Pha...,"Bagakay, Ozamiz","4,600,000",2,39,100,https://www.lamudi.com.ph/2-bedroom-sophisticated-trendy-house-and-lot-for-sale-in-the-emerald-residences-phase-2-bagakay-ozamiz-city-taylor-smart-home.html
"Greenmeadows House and Lot For Sale Near Corinthian, Greenhills in Quezon City!","Ugong Norte, Quezon City","167,000,000",6,635,1141,https://www.lamudi.com.ph/greenmeadows-house-and-lot-for-sale-near-corinthian-greenhills-in-quezon-city.html
"For Sale! 5BR House and Lot at Hillsborough Village, Muntinlupa City","Cupang, Muntinlupa","57,000,000",5,461,no info,https://www.lamudi.com.ph/for-sale-5br-house-and-lot-at-hillsborough-village-muntinlupa-city.html
"Stunning Modern House and Lot For Sale in Filinvest East Homes, Marcos Hiway","San Isidro, Cainta","22,000,000",5,450,277,https://www.lamudi.com.ph/stunning-modern-house-and-lot-for-sale-in-filinvest-east-homes-marcos-hiway.html
Vista Verde Executive Village|4BR Charming House&Lot For Sale in Cainta-DE882190,"San Isidro, Cainta","29,000,000",4,720,840,https://www.lamudi.com.ph/vista-verde-executive-village-4br-charming-house-lot-for-sale-in-cainta-de882190.html
Modernized Fully Renovated Duplex House and Lot 4 bedroom in BF Homes Paranaque,"B.F. Homes, Paranaque","13,500,000",4,155,179,https://www.lamudi.com.ph/modernized-fully-renovated-duplex-house-and-lot-4-bedroom-in-bf-homes-paranaque.html
Newly Built Modern Designed House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","19,200,000",4,285,189,https://www.lamudi.com.ph/newly-built-modern-designed-house-and-lot-for-sale-in-bf-homes-paranaque.html
"Linden Residences Subdivision 3-Storey Modern House for Sale Tunasan, Muntinlupa","Tunasan, Muntinlupa","52,500,000",7,700,460,https://www.lamudi.com.ph/linden-residences-subdivision-3-storey-modern-house-for-sale-tunasan-muntinlupa-1.html
Aesthetic And Huge Mediterranean House And Lot With Swimming Pool For Sale,"B.F. Homes, Paranaque","40,000,000",5,500,465,https://www.lamudi.com.ph/aesthetic-and-huge-mediterranean-house-and-lot-with-swimming-pool-for-sale-6.html
Newly Renovated Attractive Modern Bungalow House And Lot For Sale in Paranaque,"B.F. Homes, Paranaque","17,300,000",3,170,219,https://www.lamudi.com.ph/newly-renovated-attractive-modern-bungalow-house-and-lot-for-sale-in-paranaque-1.html
Brand New Modern Bungalow House and Lot with Cathedral Ceiling For Sale,"B.F. Homes, Paranaque","21,000,000",3,240,271,https://www.lamudi.com.ph/brand-new-modern-bungalow-house-and-lot-with-cathedral-ceiling-for-sale-9.html
Brand New Modern 2-Storey House and Lot For Sale in Bf Homes Paranaque,"B.F. Homes, Paranaque","24,000,000",4,210,204,https://www.lamudi.com.ph/brand-new-modern-2-storey-house-and-lot-for-sale-in-bf-homes-paranaque.html
Beautiful Massive House And Lot For Sale In BF Homes Paranaque,"B.F. Homes, Paranaque","30,000,000",5,400,280,https://www.lamudi.com.ph/beautiful-massive-house-and-lot-for-sale-in-bf-homes-paranaque-11.html
"PVT2019-0091: Townhouse for Sale at Carmona, Cavite","Lantic, Carmona","4,000,000",no info,no info,85,https://www.lamudi.com.ph/pvt2019-0091-townhouse-for-sale-at-carmona-cavite.html
"PVT2020-0048: House & Lot for Sale at Dasmarinas, Cavite","Paliparan I, Dasmarinas","5,500,000",no info,no info,186,https://www.lamudi.com.ph/pvt2020-0048-house-lot-for-sale-at-dasmarinas-cavite.html
Beautiful 6 Bedroom House for Sale in Forbes Park Makati City,"Forbes Park, Makati","1,200,000,000",6,1822,2501,https://www.lamudi.com.ph/beautiful-6-bedroom-house-for-sale-in-forbes-park-makati-city-3.html
"Mckinley Hill Village Brand New 3-Storey House & Lot For Sale in Mckinley,Taguig","McKinley Hill, Taguig","124,000,000",5,516,188,https://www.lamudi.com.ph/mckinley-hill-village-brand-new-3-storey-house-lot-for-sale-in-mckinley-taguig.html
Ayala Heights Brand New 5 Bedroom Modern House for Sale with pool Quezon City,"Matandang Balara, Quezon City","160,000,000",5,820,480,https://www.lamudi.com.ph/ayala-heights-brand-new-5-bedroom-modern-house-for-sale-with-pool-quezon-city.html
"2-Storey 3BR House and Lot (Celestina Model) for Sale in Siena Hills, Lipa City, Bata...","Antipolo del Sur, Lipa","6,303,625",3,123,150,https://www.lamudi.com.ph/2-storey-3br-house-and-lot-celestina-model-for-sale-in-siena-hills-lipa-city-batangas.html
"2-Storey 5BR House and Lot (Amadea Model) for Sale in Siena Hills, Lipa City, Batanga...","Antipolo del Sur, Lipa","8,215,625",5,179,176,https://www.lamudi.com.ph/2-storey-5br-house-and-lot-amadea-model-for-sale-in-siena-hills-lipa-city-batangas.html
"3BR House and Lot (Mariella Standard) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang","4,460,000",3,63,88,https://www.lamudi.com.ph/3br-house-and-lot-mariella-standard-for-sale-in-suntrust-verona-silang-cavite.html
"Linden Residences Subdivision 3-Storey Modern House for Sale Tunasan, Muntinlupa","Tunasan, Muntinlupa","52,500,000",7,700,460,https://www.lamudi.com.ph/linden-residences-subdivision-3-storey-modern-house-for-sale-tunasan-muntinlupa-1.html
Modernized Fully Renovated Duplex House and Lot 4 bedroom in BF Homes Paranaque,"B.F. Homes, Paranaque","13,500,000",4,155,179,https://www.lamudi.com.ph/modernized-fully-renovated-duplex-house-and-lot-4-bedroom-in-bf-homes-paranaque.html
"For Sale 5 Bedroom House and Lot in Addition Hills, San Juan City","Addition Hills, San Juan","228,570,000",5,80,1203,https://www.lamudi.com.ph/for-sale-5-bedroom-house-and-lot-in-addition-hills-san-juan-city.html
Ayala Heights Brand New 5 Bedroom Modern House for Sale with pool Quezon City,"Matandang Balara, Quezon City","160,000,000",5,820,480,https://www.lamudi.com.ph/ayala-heights-brand-new-5-bedroom-modern-house-for-sale-with-pool-quezon-city.html
"For Sale 3 Bedrooms Single Attached House and Lot, Santa Maria, Bulacan","Caysio, Santa Maria","4,230,578",3,112,81,https://www.lamudi.com.ph/for-sale-3-bedrooms-single-attached-house-and-lot-santa-maria-bulacan.html
Swimming Pool House and Lot for sale Filinvest Batasan Commonwealth Quezon City,"Commonwealth, Quezon City","41,500,000",5,500,338,https://www.lamudi.com.ph/swimming-pool-house-and-lot-for-sale-filinvest-batasan-commonwealth-quezon-city.html
Breezy Brand New Modern and High-style Finish House and Lot for Sale in Paranaqu,"B.F. Homes, Paranaque","30,000,000",4,500,312,https://www.lamudi.com.ph/breezy-brand-new-modern-and-high-style-finish-house-and-lot-for-sale-in-paranaqu.html
Fully Renovated Bungalow for Sale House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","40,000,000",4,612,500,https://www.lamudi.com.ph/fully-renovated-bungalow-for-sale-house-and-lot-for-sale-in-bf-homes-paranaque-47.html
two storey brand-new house and lot with pool located in angeles city for sale,"Amsic, Angeles","17,800,000",5,240,200,https://www.lamudi.com.ph/two-storey-brand-new-house-and-lot-with-pool-located-in-angeles-city-for-sale.html
"Rush Sale: 3 Bedrooms Townhouse for Sale in Anabu I-C, Imus, Cavite","Anabu I-C, Imus","4,600,000",3,101,81,https://www.lamudi.com.ph/rush-sale-3-bedrooms-townhouse-for-sale-in-anabu-i-c-imus-cavite.html
